statistic,p_value,n,r,metric,contrast,p_adj,rejected_at_alpha,claimed_meaningful
561409.5,0.009699132898100439,1558,0.06552511255685417,adj_per_noun,lang_sup_vs_self_sup,0.01684040675513432,True,False
3459016.5,4.567349774141298e-16,4027,0.1279964984040352,caption_length,lang_sup_vs_self_sup,1.8269399096565194e-15,True,True
1092783.5,0.010525254221958949,2160,0.05504107061023307,head_noun_min_depth,lang_sup_vs_self_sup,0.01684040675513432,True,False
200585.0,1.0347605768332738e-31,1154,0.3449359402350308,projective_density,lang_sup_vs_self_sup,8.27808461466619e-31,True,True
620712.0,0.2656150432142873,1601,0.027821743706322066,scene_object_ratio,lang_sup_vs_self_sup,0.3541533909523831,False,False
4131176.5,5.94491345844068e-07,4257,0.07652609947779697,topological_density,lang_sup_vs_self_sup,1.5853102555841814e-06,True,False
237.5,0.6171377294958451,32,0.08837261878483448,vg_attr_precision,lang_sup_vs_self_sup,0.6171377294958451,False,False
30430.0,0.5470647102610529,355,0.03195956796401826,vg_attr_recall,lang_sup_vs_self_sup,0.6171377294958451,False,False
