metric,contrast,r_seed1,r_seed2,r_seed3,mean_r,sd_r,n_meaningful_seeds,claimed_robust,verdict_unstable
adj_per_noun,lang_sup_vs_self_sup,0.1007727815202557,0.0575904756521735,0.0655251125568541,0.07462945657642778,0.02298574982551607,1,False,True
caption_length,lang_sup_vs_self_sup,0.1911793171916887,0.2869554429804727,0.1279964984040352,0.20204375285873222,0.08003445187534071,3,True,False
head_noun_min_depth,lang_sup_vs_self_sup,0.1020106283912755,0.0107195146015045,0.055041070610233,0.055923737867671,0.0456519571361376,1,False,True
projective_density,lang_sup_vs_self_sup,0.2759647626352643,0.2555762131159743,0.3449359402350308,0.2921589719954231,0.04682925923286161,3,True,False
scene_object_ratio,lang_sup_vs_self_sup,0.0090029858649198,0.0110943652261655,0.027821743706322,0.015973031599135767,0.010314429255048354,0,False,False
topological_density,lang_sup_vs_self_sup,0.0544034323965587,0.0465908392644795,0.0765260994777969,0.05917345704627836,0.015527227775071628,0,False,False
vg_attr_precision,lang_sup_vs_self_sup,0.2597520401452702,0.0136230293151258,0.0883726187848344,0.12058256274841013,0.12618630219108118,0,False,False
vg_attr_recall,lang_sup_vs_self_sup,0.1085655756324742,0.014448410665774,0.0319595679640182,0.05165785142075546,0.05005523912337989,0,False,False
