statistic,p_value,n,r,metric,encoder_a,encoder_b,contrast,p_adj,rejected_at_alpha,claimed_meaningful,within_category
2158470.5,0.9960859554471989,2938,9.050270283390439e-05,adj_per_noun,clip,siglip,clip_vs_siglip,0.9960859554471989,False,False,True
4771478.0,0.00385680039404461,4481,0.04316747627655603,caption_length,clip,siglip,clip_vs_siglip,0.018512641891414126,True,False,True
2140283.5,0.08081293531370312,2981,0.03197867108551794,head_noun_min_depth,clip,siglip,clip_vs_siglip,0.3232517412548125,False,False,True
254848.0,0.0033087541415635427,1066,0.08997017114661333,projective_density,clip,siglip,clip_vs_siglip,0.018512641891414126,True,False,True
667629.5,0.40705276723462913,1653,0.020392285922765558,scene_object_ratio,clip,siglip,clip_vs_siglip,0.8141055344692583,False,False,True
5265939.0,0.7601142679901404,4601,0.004501366865147245,topological_density,clip,siglip,clip_vs_siglip,0.9559388277809532,False,False,True
13421.0,0.8364464743083341,233,0.01352439730261346,vg_attr_precision,clip,siglip,clip_vs_siglip,0.9559388277809532,False,False,True
71879.0,0.5902632458220558,543,0.02310729826819014,vg_attr_recall,clip,siglip,clip_vs_siglip,0.9444211933152893,False,False,True
2056827.5,0.27347334436902593,2902,0.02032846601616003,adj_per_noun,clip,dinov2,clip_vs_dinov2,0.6668659429054067,False,False,False
4646596.0,0.000743474032350985,4442,0.0506092832838583,caption_length,clip,dinov2,clip_vs_dinov2,0.008285342374073213,True,False,False
2116017.5,0.9184332574082037,2912,0.0018977366144408115,head_noun_min_depth,clip,dinov2,clip_vs_dinov2,0.9960859554471989,False,False,False
267396.5,2.702124226125538e-09,1157,0.17488735056165616,projective_density,clip,dinov2,clip_vs_dinov2,6.485098142701292e-08,True,True,False
665130.5,0.27786080954391945,1656,0.02666579656736609,scene_object_ratio,clip,dinov2,clip_vs_dinov2,0.6668659429054067,False,False,False
5251645.0,0.7944374411876207,4593,0.0038445668525532487,topological_density,clip,dinov2,clip_vs_dinov2,0.9559388277809532,False,False,False
14702.5,0.6579541591144439,246,0.028228040308980205,vg_attr_precision,clip,dinov2,clip_vs_dinov2,0.9559388277809532,False,False,False
82065.0,0.7978876898398537,576,0.010670074200642381,vg_attr_recall,clip,dinov2,clip_vs_dinov2,0.9559388277809532,False,False,False
2108205.5,0.32961799193989905,2934,0.017997936648687148,adj_per_noun,siglip,dinov2,siglip_vs_dinov2,0.7191665278688707,False,False,False
4959609.0,0.7461104271939192,4466,0.0048448499837378785,caption_length,siglip,dinov2,siglip_vs_dinov2,0.9559388277809532,False,False,False
2051477.5,0.1196711712571319,2913,0.028832525830187052,head_noun_min_depth,siglip,dinov2,siglip_vs_dinov2,0.4103011585958808,False,False,False
344520.5,0.0010356677967591516,1242,0.09308926591247754,projective_density,siglip,dinov2,siglip_vs_dinov2,0.008285342374073213,True,False,False
625343.5,0.4868008932069079,1597,0.01740147186376643,scene_object_ratio,siglip,dinov2,siglip_vs_dinov2,0.8539025028401106,False,False,False
5282575.0,0.9647732007916707,4598,0.0006513130850830601,topological_density,siglip,dinov2,siglip_vs_dinov2,0.9960859554471989,False,False,False
12637.5,0.27631865272126377,234,0.07116573661519905,vg_attr_precision,siglip,dinov2,siglip_vs_dinov2,0.6668659429054067,False,False,False
76219.0,0.4981097933233979,561,0.028602673008677883,vg_attr_recall,siglip,dinov2,siglip_vs_dinov2,0.8539025028401106,False,False,False
