metric,contrast,r_seed1,r_seed2,r_seed3,mean_r,sd_r,n_meaningful_seeds,claimed_robust,verdict_unstable
adj_per_noun,lang_sup_vs_self_sup,0.0054670243784791,0.012123717778069,0.0178269724589037,0.011805904871817268,0.006186099976579191,0,False,False
caption_length,lang_sup_vs_self_sup,0.0573640083844958,0.0054946063306574,0.0511747815326645,0.0380111320826059,0.02832966585557805,0,False,False
head_noun_min_depth,lang_sup_vs_self_sup,0.0669974515600299,0.0256615693195252,0.0126325226455797,0.035097181175044935,0.02838414085866127,0,False,False
projective_density,lang_sup_vs_self_sup,0.1305836506863458,0.174729006881628,0.1753458626353105,0.1602195067344281,0.025667257362877803,3,True,False
scene_object_ratio,lang_sup_vs_self_sup,0.0319271391001112,0.0356088776472759,0.0057145057848954,0.024416840844094168,0.016300975497874997,0,False,False
topological_density,lang_sup_vs_self_sup,0.0163292919342644,0.0047119792788788,0.0470904936003811,0.022710588271174767,0.021898066723549894,0,False,False
vg_attr_precision,lang_sup_vs_self_sup,0.0331111823536112,0.018407167920741,0.0484613839989763,0.0333265780911095,0.015028265785249928,0,False,False
vg_attr_recall,lang_sup_vs_self_sup,0.037125577816899,0.0103733831018512,0.0301540756026864,0.025884345507145533,0.013877785372116598,0,False,False
