statistic,p_value,n,r,metric,contrast,p_adj,rejected_at_alpha,claimed_meaningful
3247248.0,0.4651780520828067,3629,0.012123717778069039,adj_per_noun,lang_sup_vs_self_sup,0.8044105470669372,False,False
5460683.0,0.7067607505166095,4688,0.005494606330657404,caption_length,lang_sup_vs_self_sup,0.8044105470669372,False,False
3190458.5,0.12228721577596131,3626,0.025661569319525224,head_noun_min_depth,lang_sup_vs_self_sup,0.3260992420692302,False,False
511244.5,2.7653636670283546e-12,1600,0.174729006881628,projective_density,lang_sup_vs_self_sup,2.2122909336226836e-11,True,True
877897.0,0.11936227277549061,1913,0.035608877647275904,scene_object_ratio,lang_sup_vs_self_sup,0.3260992420692302,False,False
5988131.5,0.7413439996395039,4907,0.00471197927887886,topological_density,lang_sup_vs_self_sup,0.8044105470669372,False,False
8061.5,0.8044105470669372,181,0.018407167920741034,vg_attr_precision,lang_sup_vs_self_sup,0.8044105470669372,False,False
153572.0,0.7709023851538397,788,0.010373383101851225,vg_attr_recall,lang_sup_vs_self_sup,0.8044105470669372,False,False
