statistic,p_value,n,r,metric,contrast,p_adj,rejected_at_alpha,claimed_meaningful
691214.0,0.069159041602725,1706,0.044000345306231724,adj_per_noun,lang_sup_vs_self_sup,0.0922120554703,False,False
2843990.0,5.847179310332317e-71,4088,0.27856290833181585,caption_length,lang_sup_vs_self_sup,4.6777434482658534e-70,True,True
1342233.5,0.0006802689537769835,2415,0.06913364046968849,head_noun_min_depth,lang_sup_vs_self_sup,0.0018140505434052895,True,False
243820.0,5.781773232465796e-41,1305,0.37102838053640713,projective_density,lang_sup_vs_self_sup,2.3127092929863185e-40,True,True
668020.5,0.9021768108095582,1637,0.0030378744547150368,scene_object_ratio,lang_sup_vs_self_sup,0.9021768108095582,False,False
4719120.0,0.050278266555088325,4420,0.02944491922693711,topological_density,lang_sup_vs_self_sup,0.0922120554703,False,False
189.0,0.06113752081350836,34,0.3211310275811123,vg_attr_precision,lang_sup_vs_self_sup,0.0922120554703,False,False
30272.0,0.1023068424515608,366,0.08539860341304913,vg_attr_recall,lang_sup_vs_self_sup,0.11692210565892662,False,False
