metric,method,coef,se,z,p_value,n_images,n_obs,converged
adj_per_noun,mixedlm_image_re,-0.008774761904776654,0.002516799778038008,-3.48647595305221,0.0004894293830191898,5000,15000,True
caption_length,paired_t_per_image,-0.2931,0.024213751034233205,-12.104692064670923,2.900742879523801e-33,5000,15000,True
head_noun_min_depth,mixedlm_image_re,-0.09461615648476367,0.020003457118200587,-4.729990217474712,2.245306560987076e-06,5000,14987,True
projective_density,paired_t_per_image,-0.0035145433367801786,0.0004204653642939936,-8.35869880193693,8.132469517085259e-17,5000,15000,True
scene_object_ratio,mixedlm_image_re,0.004915229805399584,0.0037773584528270486,1.3012346767675518,0.19317813906891879,4796,13194,True
topological_density,mixedlm_image_re,0.002992992733824724,0.0008076168590521941,3.7059562344169623,0.0002105946656078948,5000,15000,True
vg_attr_precision,mixedlm_image_re,0.03197427226213808,0.01747244952652672,1.829982236525832,0.0672525950995715,782,1305,True
vg_attr_recall,paired_t_per_image,-0.0023518339687577457,0.0009561490951188166,-2.459693766133297,0.01398442141825688,2133,6399,True
