statistic,p_value,n,r,metric,contrast,p_adj,rejected_at_alpha,claimed_meaningful
3190118.5,0.7434817928552778,3583,0.005467024378479178,adj_per_noun,lang_sup_vs_self_sup,0.7434817928552778,False,False
5125363.0,8.622753575446477e-05,4685,0.057364008384495874,caption_length,lang_sup_vs_self_sup,0.0002299400953452394,True,False
3008495.5,5.673758497591474e-05,3611,0.06699745156002997,head_noun_min_depth,lang_sup_vs_self_sup,0.00022695033990365897,True,False
523675.5,2.289564344474722e-07,1570,0.1305836506863458,projective_density,lang_sup_vs_self_sup,1.8316514755797776e-06,True,True
833596.5,0.16852936753260717,1860,0.031927139100111246,scene_object_ratio,lang_sup_vs_self_sup,0.33705873506521433,False,False
5890528.0,0.2530176513227258,4900,0.016329291934264422,topological_density,lang_sup_vs_self_sup,0.40482824211636126,False,False
5091.5,0.6901058419665511,145,0.03311118235361122,vg_attr_precision,lang_sup_vs_self_sup,0.7434817928552778,False,False
137304.5,0.30703677719231715,757,0.03712557781689906,vg_attr_recall,lang_sup_vs_self_sup,0.4093823695897562,False,False
