statistic,p_value,n,r,metric,encoder_a,encoder_b,contrast,p_adj,rejected_at_alpha,claimed_meaningful,within_category
245948.0,0.0007669668482804846,1056,0.10353375791568548,adj_per_noun,clip,siglip,clip_vs_siglip,0.0021438554973570207,True,True,True
2696603.5,3.8096977312033184e-05,3424,0.07038760973077951,caption_length,clip,siglip,clip_vs_siglip,0.0001306182079269709,True,False,True
577490.0,0.001362233103636512,1595,0.08018879102869184,head_noun_min_depth,clip,siglip,clip_vs_siglip,0.0032693594487276283,True,False,True
115231.5,0.14526146238355844,701,0.05501028695165303,projective_density,clip,siglip,clip_vs_siglip,0.21128939983063047,False,False,True
338419.0,0.3867939925706656,1180,0.02519410975655136,scene_object_ratio,clip,siglip,clip_vs_siglip,0.4760541447023577,False,False,True
2933961.0,0.00888115343837942,3516,0.044127786749044745,topological_density,clip,siglip,clip_vs_siglip,0.01776230687675884,True,False,True
338.0,0.22091740466682097,41,0.19117110178146854,vg_attr_precision,clip,siglip,clip_vs_siglip,0.30297244068592594,False,False,True
9497.5,0.0007170996281739118,226,0.2250309258694316,vg_attr_recall,clip,siglip,clip_vs_siglip,0.0021438554973570207,True,True,True
280673.0,0.0001168168111384005,1136,0.11430819521991162,adj_per_noun,clip,dinov2,clip_vs_dinov2,0.00037381379564288157,True,True,False
2496285.5,2.5404252128150084e-20,3485,0.1564656088217746,caption_length,clip,dinov2,clip_vs_dinov2,2.438808204302408e-19,True,True,False
594149.0,0.0008039458115088828,1621,0.08324132674292439,head_noun_min_depth,clip,dinov2,clip_vs_dinov2,0.0021438554973570207,True,False,False
115499.0,2.6170441889368516e-26,885,0.35672295956856304,projective_density,clip,dinov2,clip_vs_dinov2,4.1872707022989625e-25,True,True,False
355012.0,0.05498811439566099,1230,0.05471616601856089,scene_object_ratio,clip,dinov2,clip_vs_dinov2,0.09426533896399025,False,False,False
2835826.0,2.0133692963839136e-09,3581,0.10021020544515258,topological_density,clip,dinov2,clip_vs_dinov2,9.664172622642786e-09,True,True,False
199.5,0.211615802905604,32,0.22081790806727328,vg_attr_precision,clip,dinov2,clip_vs_dinov2,0.298751721749088,False,False,False
12533.0,0.028815680735753278,244,0.13994424378263026,vg_attr_recall,clip,dinov2,clip_vs_dinov2,0.053198179819852205,False,False,False
277942.5,0.1410551289164852,1082,0.04474626184029491,adj_per_noun,clip,mae,clip_vs_mae,0.21128939983063047,False,False,False
2212113.0,1.2174305163337725e-73,3666,0.29981293886326627,caption_length,clip,mae,clip_vs_mae,5.843666478402108e-72,True,True,False
948619.5,0.5971841745427038,1961,0.011933518240708929,head_noun_min_depth,clip,mae,clip_vs_mae,0.6514736449556768,False,False,False
131259.0,6.230362746425566e-17,881,0.28168191880559323,projective_density,clip,mae,clip_vs_mae,4.272248740406102e-16,True,True,False
414531.5,0.31506156939342445,1308,0.02777885655544544,scene_object_ratio,clip,mae,clip_vs_mae,0.4068531009803516,False,False,False
3595654.0,0.7143146987425179,3805,0.005934496220680964,topological_density,clip,mae,clip_vs_mae,0.729512883822146,False,False,False
366.5,0.9528816328249154,38,0.00958541748594148,vg_attr_precision,clip,mae,clip_vs_mae,0.9528816328249154,False,False,False
11303.5,0.262622082068405,222,0.07518391927374506,vg_attr_recall,clip,mae,clip_vs_mae,0.35016277609120666,False,False,False
363786.5,0.5434696800623634,1218,0.01740908454829045,adj_per_noun,siglip,dinov2,siglip_vs_dinov2,0.6211082057855581,False,False,False
2695301.5,1.8557265684358577e-07,3462,0.08860209937396193,caption_length,siglip,dinov2,siglip_vs_dinov2,8.097715934992834e-07,True,False,False
666926.5,0.6643058311067869,1643,0.010706486738910828,head_noun_min_depth,siglip,dinov2,siglip_vs_dinov2,0.70198509248258,False,False,False
153074.5,2.069127179701459e-18,953,0.28355232145138387,projective_density,siglip,dinov2,siglip_vs_dinov2,1.6553017437611673e-17,True,True,False
360982.0,0.5167771708798039,1214,0.018607196151955312,scene_object_ratio,siglip,dinov2,siglip_vs_dinov2,0.6050074195665998,False,False,False
2975612.5,0.0013089173862019718,3562,0.05385192928086188,topological_density,siglip,dinov2,siglip_vs_dinov2,0.0032693594487276283,True,False,False
398.5,0.1100814642064854,46,0.23558675155685374,vg_attr_precision,siglip,dinov2,siglip_vs_dinov2,0.17613034273037664,False,False,False
16527.5,0.5690337038856698,262,0.03518229465101115,vg_attr_recall,siglip,dinov2,siglip_vs_dinov2,0.6352004136398174,False,False,False
292708.5,9.156650126872525e-06,1172,0.12958239292157303,adj_per_noun,siglip,mae,siglip_vs_mae,3.3809169699221636e-05,True,True,False
2315070.0,7.190801301086797e-47,3571,0.2405916334716206,caption_length,siglip,mae,siglip_vs_mae,1.7257923122608314e-45,True,True,False
903435.0,0.013160936768937245,1965,0.0559322892107971,head_noun_min_depth,siglip,mae,siglip_vs_mae,0.025268998596359508,True,False,False
174936.0,2.005225247630011e-10,957,0.20561999438026562,projective_density,siglip,mae,siglip_vs_mae,1.2031351485780066e-09,True,True,False
448417.5,0.41329124444515464,1356,0.022216967058615495,scene_object_ratio,siglip,mae,siglip_vs_mae,0.49594949333418553,False,False,False
3367733.5,0.002888677738212096,3777,0.04847824918983737,topological_density,siglip,mae,siglip_vs_mae,0.00660269197305622,True,False,False
325.5,0.04372348356695872,44,0.30403379575022266,vg_attr_precision,siglip,mae,siglip_vs_mae,0.07773063745237105,False,False,False
14679.0,0.07392779626163333,259,0.111042503604569,vg_attr_recall,siglip,mae,siglip_vs_mae,0.12236324898477241,False,False,False
308236.5,2.2413223170370762e-07,1218,0.14837082921455544,adj_per_noun,dinov2,mae,dinov2_vs_mae,8.965289268148305e-07,True,True,True
2552379.0,1.0617037754863175e-24,3562,0.17191786134192344,caption_length,dinov2,mae,dinov2_vs_mae,1.274044530583581e-23,True,True,True
857373.5,0.004907760966341695,1924,0.06413148351542784,head_noun_min_depth,dinov2,mae,dinov2_vs_mae,0.01070784210838188,True,False,True
249667.0,0.006453665767890532,1051,0.0840181226859968,projective_density,dinov2,mae,dinov2_vs_mae,0.01346851986342372,True,False,True
423528.0,0.1283871837203592,1333,0.04164561445292896,scene_object_ratio,dinov2,mae,dinov2_vs_mae,0.198793058663782,False,False,True
3034779.5,3.662891084278344e-10,3711,0.10288843832236473,topological_density,dinov2,mae,dinov2_vs_mae,1.9535419116151168e-09,True,True,True
324.0,0.6727357136291392,37,0.06944153848739064,vg_attr_precision,dinov2,mae,dinov2_vs_mae,0.70198509248258,False,False,True
17278.5,0.32209203827611166,272,0.060037750270385735,vg_attr_recall,dinov2,mae,dinov2_vs_mae,0.4068531009803516,False,False,True
