statistic,p_value,n,r,metric,encoder_a,encoder_b,contrast,p_adj,rejected_at_alpha,claimed_meaningful,within_category
2158470.5,0.9960859554471989,2938,9.050270283390439e-05,adj_per_noun,clip,siglip,clip_vs_siglip,0.9960859554471989,False,False,True
4771478.0,0.00385680039404461,4481,0.04316747627655603,caption_length,clip,siglip,clip_vs_siglip,0.02644663127344875,True,False,True
2140283.5,0.08081293531370312,2981,0.03197867108551794,head_noun_min_depth,clip,siglip,clip_vs_siglip,0.25860139300385,False,False,True
254848.0,0.0033087541415635427,1066,0.08997017114661333,projective_density,clip,siglip,clip_vs_siglip,0.02644663127344875,True,False,True
667629.5,0.40705276723462913,1653,0.020392285922765558,scene_object_ratio,clip,siglip,clip_vs_siglip,0.6737425112849035,False,False,True
5265939.0,0.7601142679901404,4601,0.004501366865147245,topological_density,clip,siglip,clip_vs_siglip,0.9341124173734873,False,False,True
13421.0,0.8364464743083341,233,0.01352439730261346,vg_attr_precision,clip,siglip,clip_vs_siglip,0.9559388277809532,False,False,True
71879.0,0.5902632458220558,543,0.02310729826819014,vg_attr_recall,clip,siglip,clip_vs_siglip,0.8333128176311375,False,False,True
2056827.5,0.27347334436902593,2902,0.02032846601616003,adj_per_noun,clip,dinov2,clip_vs_dinov2,0.5871477080365346,False,False,False
4646596.0,0.000743474032350985,4442,0.0506092832838583,caption_length,clip,dinov2,clip_vs_dinov2,0.00892168838821182,True,False,False
2116017.5,0.9184332574082037,2912,0.0018977366144408115,head_noun_min_depth,clip,dinov2,clip_vs_dinov2,0.9796621412354173,False,False,False
267396.5,2.702124226125538e-09,1157,0.17488735056165616,projective_density,clip,dinov2,clip_vs_dinov2,6.485098142701292e-08,True,True,False
665130.5,0.27786080954391945,1656,0.02666579656736609,scene_object_ratio,clip,dinov2,clip_vs_dinov2,0.5871477080365346,False,False,False
5251645.0,0.7944374411876207,4593,0.0038445668525532487,topological_density,clip,dinov2,clip_vs_dinov2,0.9341124173734873,False,False,False
14702.5,0.6579541591144439,246,0.028228040308980205,vg_attr_precision,clip,dinov2,clip_vs_dinov2,0.8772722121525919,False,False,False
82065.0,0.7978876898398537,576,0.010670074200642381,vg_attr_recall,clip,dinov2,clip_vs_dinov2,0.9341124173734873,False,False,False
2058653.0,0.18064348653751539,2911,0.02481343759903789,adj_per_noun,clip,mae,clip_vs_mae,0.481715964100041,False,False,False
4834822.0,0.012991407922147485,4494,0.03705406729918384,caption_length,clip,mae,clip_vs_mae,0.07162285210505002,False,False,False
2437426.5,0.04495825379088191,3188,0.03551116601431066,head_noun_min_depth,clip,mae,clip_vs_mae,0.15414258442588083,False,False,False
268205.5,2.4614183896417084e-09,1159,0.17518449692245655,projective_density,clip,mae,clip_vs_mae,6.485098142701292e-08,True,True,False
707341.5,0.03269238568118085,1733,0.05130617208879348,scene_object_ratio,clip,mae,clip_vs_mae,0.13609228585498298,False,False,False
5298697.5,0.9853376454482001,4604,0.0002708447636285053,topological_density,clip,mae,clip_vs_mae,0.9960859554471989,False,False,False
10897.0,0.17706404112502383,220,0.09100688138346469,vg_attr_precision,clip,mae,clip_vs_mae,0.481715964100041,False,False,False
72105.0,0.3265151451787709,550,0.04183669062698728,vg_attr_recall,clip,mae,clip_vs_mae,0.5871477080365346,False,False,False
2108205.5,0.32961799193989905,2934,0.017997936648687148,adj_per_noun,siglip,dinov2,siglip_vs_dinov2,0.5871477080365346,False,False,False
4959609.0,0.7461104271939192,4466,0.0048448499837378785,caption_length,siglip,dinov2,siglip_vs_dinov2,0.9341124173734873,False,False,False
2051477.5,0.1196711712571319,2913,0.028832525830187052,head_noun_min_depth,siglip,dinov2,siglip_vs_dinov2,0.35901351377139573,False,False,False
344520.5,0.0010356677967591516,1242,0.09308926591247754,projective_density,siglip,dinov2,siglip_vs_dinov2,0.009942410848887855,True,False,False
625343.5,0.4868008932069079,1597,0.01740147186376643,scene_object_ratio,siglip,dinov2,siglip_vs_dinov2,0.7471646899850969,False,False,False
5282575.0,0.9647732007916707,4598,0.0006513130850830601,topological_density,siglip,dinov2,siglip_vs_dinov2,0.9960859554471989,False,False,False
12637.5,0.27631865272126377,234,0.07116573661519905,vg_attr_precision,siglip,dinov2,siglip_vs_dinov2,0.5871477080365346,False,False,False
76219.0,0.4981097933233979,561,0.028602673008677883,vg_attr_recall,siglip,dinov2,siglip_vs_dinov2,0.7471646899850969,False,False,False
2153970.0,0.20350028300449907,2975,0.023314249495176846,adj_per_noun,siglip,mae,siglip_vs_mae,0.5141059781166293,False,False,False
4856357.0,0.3488001275328636,4443,0.014056072139164478,caption_length,siglip,mae,siglip_vs_mae,0.5979430757706233,False,False,False
2515430.0,0.6356955832867155,3187,0.008391427338804972,head_noun_min_depth,siglip,mae,siglip_vs_mae,0.8718110856503527,False,False,False
332095.0,0.0006380028090697654,1223,0.09764894572681285,projective_density,siglip,mae,siglip_vs_mae,0.00892168838821182,True,False,False
669709.5,0.3302705857705507,1659,0.02390251188764036,scene_object_ratio,siglip,mae,siglip_vs_mae,0.5871477080365346,False,False,False
5209233.5,0.43357402534365663,4595,0.011552318254354089,topological_density,siglip,mae,siglip_vs_mae,0.6937184405498507,False,False,False
9653.0,0.037501587709078646,214,0.14220372349342977,vg_attr_precision,siglip,mae,siglip_vs_mae,0.1384674007719827,False,False,False
78319.5,0.78294144639659,563,0.011610429303294577,vg_attr_recall,siglip,mae,siglip_vs_mae,0.9341124173734873,False,False,False
