statistic,p_value,n,r,metric,contrast,p_adj,rejected_at_alpha,claimed_meaningful
3719707.0,0.011103556202612412,3950,0.040405125393466475,adj_per_noun,lang_sup_vs_self_sup,0.029609483206966433,True,False
5419399.0,0.8873343845441297,4661,0.0020752133086645932,caption_length,lang_sup_vs_self_sup,0.9222547884315356,False,False
3769394.5,0.9222547884315356,3886,0.0015655652157790503,head_noun_min_depth,lang_sup_vs_self_sup,0.9222547884315356,False,False
870437.5,4.7512743041396887e-11,2045,0.14547289831750562,projective_density,lang_sup_vs_self_sup,3.801019443311751e-10,True,True
770819.0,0.6329838406657302,1767,0.011360136892024891,scene_object_ratio,lang_sup_vs_self_sup,0.8439784542209736,False,False
5777968.5,0.004318059210645822,4924,0.0406711002454032,topological_density,lang_sup_vs_self_sup,0.017272236842583288,True,False
2782.5,0.04910054013453877,118,0.18114308736861642,vg_attr_precision,lang_sup_vs_self_sup,0.09820108026907753,False,False
187055.5,0.5410994843852253,875,0.020660681599220014,vg_attr_recall,lang_sup_vs_self_sup,0.8439784542209736,False,False
