metric,method,coef,se,z,p_value,n_images,n_obs,converged
adj_per_noun,mixedlm_image_re,-0.009473888888896512,0.0031052394098669586,-3.0509367035575568,0.0022812866133104905,5000,15000,True
caption_length,paired_t_per_image,-0.1971,0.02485968460748762,-7.928499621456759,2.7150926432767405e-15,5000,15000,True
head_noun_min_depth,mixedlm_image_re,-0.03844224073844737,0.01959640235993183,-1.961698889029195,0.04979755126707084,5000,14979,True
projective_density,mixedlm_image_re,-0.005232138345829583,0.00043033850022155,-12.158192546416217,5.1894174270412435e-34,5000,15000,True
scene_object_ratio,mixedlm_image_re,0.007966771884419216,0.0037263842671760926,2.137936217312486,0.032521920290965504,4760,13178,True
topological_density,paired_t_per_image,0.003977579079096071,0.0008154227146086923,4.877935097754598,1.1052901632767854e-06,5000,15000,True
vg_attr_precision,mixedlm_image_re,0.0411639690953036,0.017596276894945685,2.3393567480816038,0.019316978020721208,793,1293,True
vg_attr_recall,paired_t_per_image,-0.0011786225153002797,0.0009332669067962184,-1.2628997200236476,0.20676332231170522,2133,6399,True
