encoder,decoder,seed,metric,score,ci_lo,ci_hi,n_captions
clip,beam,2,mtld,22.399073299165764,22.07777456249445,22.836027906341943,5000
clip,nucleus,2,mtld,32.58347256985414,31.789402115777108,33.12994947361449,5000
siglip,beam,2,mtld,23.508815675541854,23.032047853401792,23.878861126485354,5000
siglip,nucleus,2,mtld,32.46956875606823,31.84459408002642,33.21576210273391,5000
dinov2,beam,2,mtld,23.40950876917157,22.893108134183215,23.69798926460572,5000
dinov2,nucleus,2,mtld,33.04031864606691,32.23555744563454,33.67473451739407,5000
mae,beam,2,mtld,22.307298901120696,21.76129750893493,22.46829876074373,5000
mae,nucleus,2,mtld,32.12357800981306,31.522950733860597,32.85293218680393,5000
