encoder,decoder,seed,metric,score,ci_lo,ci_hi,n_captions
clip,beam,3,mtld,21.905180034615203,21.72231226150373,22.460429462485376,5000
clip,nucleus,3,mtld,31.963284617780246,31.507344431346787,32.81161643356903,5000
siglip,beam,3,mtld,23.35096855715924,22.960659478869353,23.80831709322616,5000
siglip,nucleus,3,mtld,32.82882203811013,31.92372501305859,33.21041294950255,5000
dinov2,beam,3,mtld,23.324476628824925,22.927873548206097,23.784332420229237,5000
dinov2,nucleus,3,mtld,33.57375488167932,32.903863142505884,34.294800597589976,5000
mae,beam,3,mtld,21.970467916754437,21.470880935205614,22.166002559067362,5000
mae,nucleus,3,mtld,32.707768187422936,31.850340339398247,33.182391436045236,5000
