statistic,p_value,n,r,metric,encoder_a,encoder_b,contrast,p_adj,rejected_at_alpha,claimed_meaningful,within_category
2058839.0,0.5889031230405862,2886,0.010059774737062762,adj_per_noun,clip,siglip,clip_vs_siglip,0.8313926442925923,False,False,True
5034901.0,0.664595816045317,4504,0.006460509983746881,caption_length,clip,siglip,clip_vs_siglip,0.8394894518467163,False,False,True
2144280.0,0.6595712356635123,2942,0.008121377923352342,head_noun_min_depth,clip,siglip,clip_vs_siglip,0.8394894518467163,False,False,True
267043.5,0.00306483614376938,1091,0.0896498073569591,projective_density,clip,siglip,clip_vs_siglip,0.014711213490093024,True,False,True
584580.0,0.0006230899853800204,1609,0.08529442365442186,scene_object_ratio,clip,siglip,clip_vs_siglip,0.007477079824560245,True,False,True
4994460.0,0.002493802060394152,4589,0.044641218190160994,topological_density,clip,siglip,clip_vs_siglip,0.014711213490093024,True,False,True
9024.0,0.9482571554396986,190,0.004708018780107469,vg_attr_precision,clip,siglip,clip_vs_siglip,0.9548875620678293,False,False,True
70158.0,0.9548875620678293,530,0.0024572530865728305,vg_attr_recall,clip,siglip,clip_vs_siglip,0.9548875620678293,False,False,True
2057752.0,0.06738932208859537,2926,0.03381371199487408,adj_per_noun,clip,dinov2,clip_vs_dinov2,0.16173437301262888,False,False,False
4862957.0,0.19512041725043539,4460,0.019399771610572828,caption_length,clip,dinov2,clip_vs_dinov2,0.39024083450087077,False,False,False
2001410.0,0.001823651674270509,2928,0.05761385766698973,head_noun_min_depth,clip,dinov2,clip_vs_dinov2,0.014589213394164071,True,False,False
273460.5,1.0028542072163519e-07,1155,0.1567209166050475,projective_density,clip,dinov2,clip_vs_dinov2,2.4068500973192445e-06,True,True,False
616140.0,0.017456768739616726,1625,0.05896470759194121,scene_object_ratio,clip,dinov2,clip_vs_dinov2,0.05237030621885018,False,False,False
5079895.0,0.01354637945547095,4605,0.03638471803970505,topological_density,clip,dinov2,clip_vs_dinov2,0.04644472956161468,True,False,False
11037.5,0.38628132032446494,217,0.05881376707859946,vg_attr_precision,clip,dinov2,clip_vs_dinov2,0.6180501125191439,False,False,False
75716.5,0.8733434290196336,552,0.006785071559212599,vg_attr_recall,clip,dinov2,clip_vs_dinov2,0.9548875620678293,False,False,False
1969945.0,0.2516522850911833,2842,0.02150321697988222,adj_per_noun,siglip,dinov2,siglip_vs_dinov2,0.4645888340144923,False,False,False
4734779.5,0.162961602576844,4405,0.021021187618549642,caption_length,siglip,dinov2,siglip_vs_dinov2,0.3555525874403869,False,False,False
2013294.5,0.004266506921334779,2928,0.05281281803561205,head_noun_min_depth,siglip,dinov2,siglip_vs_dinov2,0.017066027685339116,True,False,False
333365.5,0.021856978541497186,1201,0.06616114827639168,projective_density,siglip,dinov2,siglip_vs_dinov2,0.058285276110659166,False,False,False
607228.5,0.8245640002483066,1563,0.005607180127851299,scene_object_ratio,siglip,dinov2,siglip_vs_dinov2,0.9548875620678293,False,False,False
5166712.0,0.583910236822574,4567,0.008104253263927696,topological_density,siglip,dinov2,siglip_vs_dinov2,0.8313926442925923,False,False,False
10528.5,0.32860253527035366,213,0.06693831682996448,vg_attr_precision,siglip,dinov2,siglip_vs_dinov2,0.5633186318920348,False,False,False
67261.5,0.9513499218149869,519,0.0026781146995354804,vg_attr_recall,siglip,dinov2,siglip_vs_dinov2,0.9548875620678293,False,False,False
