metric,contrast,r_seed1,r_seed2,r_seed3,mean_r,sd_r,n_meaningful_seeds,claimed_robust,verdict_unstable
adj_per_noun,lang_sup_vs_self_sup,0.0431546673981479,0.0288623252019697,0.0404051253934664,0.03747403933119466,0.007583614605944627,0,False,False
caption_length,lang_sup_vs_self_sup,0.0177924947205315,0.0196069247579676,0.0020752133086645,0.013158210929054536,0.009640937002198799,0,False,False
head_noun_min_depth,lang_sup_vs_self_sup,0.0343618870044931,0.0033611226237325,0.001565565215779,0.013096191614668198,0.018438502024593247,0,False,False
projective_density,lang_sup_vs_self_sup,0.127358633645955,0.146426750374009,0.1454728983175056,0.13975276077915652,0.010744219328638806,3,True,False
scene_object_ratio,lang_sup_vs_self_sup,0.0112000685085644,0.0002808120891633,0.0113601368920248,0.007613672496584167,0.006350947707853238,0,False,False
topological_density,lang_sup_vs_self_sup,0.0012980230827178,0.0012865147552155,0.0406711002454032,0.014418546027778832,0.022735379594860092,0,False,False
vg_attr_precision,lang_sup_vs_self_sup,0.1014797680160028,0.0995860425104963,0.1811430873686164,0.1274029659650385,0.0465499413042167,0,False,False
vg_attr_recall,lang_sup_vs_self_sup,0.0447211862551108,0.0021204263302596,0.02066068159922,0.022500764728196797,0.021359906741015063,0,False,False
