metric,method,coef,se,z,p_value,n_images,n_obs,converged
adj_per_noun,mixedlm_image_re,-0.0065416666666759824,0.0024444354650257102,-2.676146194191786,0.007447415143937416,5000,15000,True
caption_length,paired_t_per_image,-0.4719,0.025312847055303934,-18.642707356030908,4.819598063208359e-75,5000,15000,True
head_noun_min_depth,mixedlm_image_re,-0.003773773563552729,0.019001996534463272,-0.19859879232734123,0.8425765983770457,5000,14981,True
projective_density,paired_t_per_image,-0.003573258812480948,0.0004293479884060328,-8.322523707975849,1.0996830038342083e-16,5000,15000,True
scene_object_ratio,mixedlm_image_re,0.0013664014363443256,0.003661837499173635,0.3731463880231389,0.7090394952052459,4774,13216,True
topological_density,paired_t_per_image,0.002436454806790653,0.0008062784509963792,3.021852814967015,0.00252505113708379,5000,15000,True
vg_attr_precision,mixedlm_image_re,0.03382994148079275,0.016051471693849333,2.1075912617879045,0.035066360081213645,788,1346,True
vg_attr_recall,paired_t_per_image,-0.0006091099642224942,0.000909387482460949,-0.6698024505177317,0.5030562651913633,2133,6399,True
