statistic,p_value,n,r,metric,contrast,p_adj,rejected_at_alpha,claimed_meaningful
3639199.5,0.07220489966528366,3880,0.02886232520196974,adj_per_noun,lang_sup_vs_self_sup,0.28881959866113466,False,False
5160319.0,0.18382044989552315,4595,0.01960692475796763,caption_length,lang_sup_vs_self_sup,0.4901878663880617,False,False
3746096.0,0.8342068922142246,3878,0.0033611226237325793,head_noun_min_depth,lang_sup_vs_self_sup,0.9904864318312886,False,False
831458.5,5.815547379181392e-11,2000,0.14642675037400907,projective_density,lang_sup_vs_self_sup,4.6524379033451134e-10,True,True
812890.5,0.9904864318312886,1803,0.00028081208916339414,scene_object_ratio,lang_sup_vs_self_sup,0.9904864318312886,False,False
6093070.5,0.9279511903350576,4940,0.0012865147552155443,topological_density,lang_sup_vs_self_sup,0.9904864318312886,False,False
2655.5,0.29847520729004984,109,0.09958604251049633,vg_attr_precision,lang_sup_vs_self_sup,0.5969504145800997,False,False
172010.5,0.951288417051008,830,0.0021204263302596654,vg_attr_recall,lang_sup_vs_self_sup,0.9904864318312886,False,False
