metric,method,coef,se,z,p_value,n_images,n_obs,converged
adj_per_noun,paired_t_per_image,-0.006489379509379507,0.0033892364038085477,-1.9147025277101566,0.05558746690956577,5000,20000,True
caption_length,paired_t_per_image,0.0257,0.04218831441020789,0.6091734253734874,0.5424371755352998,5000,20000,True
head_noun_min_depth,mixedlm_image_re,-0.0038843254809848714,0.01961515936827274,-0.19802671026306912,0.8430241657635243,5000,19960,True
projective_density,paired_t_per_image,-0.00270397158700719,0.0004093424708456413,-6.6056463220666615,4.36961933754451e-11,5000,20000,True
scene_object_ratio,paired_t_per_image,-0.0031673808721331483,0.0048353475158519794,-0.6550472043114488,0.512488159538408,2967,16808,True
topological_density,paired_t_per_image,0.002703817571048796,0.0008916123269287301,3.0325035773814757,0.0024377853306430403,5000,20000,True
vg_attr_precision,paired_t_per_image,0.06655982905982906,0.03091611098530725,2.1529172634766818,0.03287207778602724,156,3724,True
vg_attr_recall,paired_t_per_image,0.0008666103264496881,0.0010267504198386134,0.8440321130678511,0.39874615363161875,2133,8532,True
