metric,method,coef,se,z,p_value,n_images,n_obs,converged
adj_per_noun,paired_t_per_image,-0.008740674603174603,0.0034349252123620157,-2.5446477180107525,0.010968616344919482,5000,20000,True
caption_length,paired_t_per_image,0.0815,0.041052144958834295,1.9852799429049435,0.04716789134196328,5000,20000,True
head_noun_min_depth,mixedlm_image_re,-0.042147668671578375,0.019374529587600397,-2.1754163620340323,0.029598929473369246,5000,19962,True
projective_density,paired_t_per_image,-0.0020819936665364283,0.00041185562059624175,-5.055154190981622,4.453874791609728e-07,5000,20000,True
scene_object_ratio,paired_t_per_image,0.003690965762590163,0.004968252082192343,0.7429103236970716,0.45759579846775295,2918,16686,True
topological_density,paired_t_per_image,-5.463448792286687e-05,0.0009002758256256823,-0.06068638784663187,0.9516113985309115,5000,20000,True
vg_attr_precision,paired_t_per_image,0.02582697201017812,0.02914248430747575,0.8862309656817032,0.377129543515058,131,3609,True
vg_attr_recall,paired_t_per_image,-0.00021372795540579412,0.0009260911072264248,-0.2307850207588039,0.8175039622534459,2133,8532,True
