statistic,p_value,n,r,metric,encoder_a,encoder_b,contrast,p_adj,rejected_at_alpha,claimed_meaningful,within_category
245948.0,0.0007669668482804846,1056,0.10353375791568548,adj_per_noun,clip,siglip,clip_vs_siglip,0.0019294699476213187,True,True,True
2696603.5,3.8096977312033184e-05,3424,0.07038760973077951,caption_length,clip,siglip,clip_vs_siglip,0.00015238790924813273,True,False,True
577490.0,0.001362233103636512,1595,0.08018879102869184,head_noun_min_depth,clip,siglip,clip_vs_siglip,0.002724466207273024,True,False,True
115231.5,0.14526146238355844,701,0.05501028695165303,projective_density,clip,siglip,clip_vs_siglip,0.20507500571796486,False,False,True
338419.0,0.3867939925706656,1180,0.02519410975655136,scene_object_ratio,clip,siglip,clip_vs_siglip,0.4641527910847987,False,False,True
2933961.0,0.00888115343837942,3516,0.044127786749044745,topological_density,clip,siglip,clip_vs_siglip,0.016395975578546624,True,False,True
338.0,0.22091740466682097,41,0.19117110178146854,vg_attr_precision,clip,siglip,clip_vs_siglip,0.2790535637896686,False,False,True
9497.5,0.0007170996281739118,226,0.2250309258694316,vg_attr_recall,clip,siglip,clip_vs_siglip,0.0019294699476213187,True,True,True
280673.0,0.0001168168111384005,1136,0.11430819521991162,adj_per_noun,clip,dinov2,clip_vs_dinov2,0.00040051478104594453,True,True,False
2496285.5,2.5404252128150084e-20,3485,0.1564656088217746,caption_length,clip,dinov2,clip_vs_dinov2,3.04851025537801e-19,True,True,False
594149.0,0.0008039458115088828,1621,0.08324132674292439,head_noun_min_depth,clip,dinov2,clip_vs_dinov2,0.0019294699476213187,True,False,False
115499.0,2.6170441889368516e-26,885,0.35672295956856304,projective_density,clip,dinov2,clip_vs_dinov2,6.280906053448444e-25,True,True,False
355012.0,0.05498811439566099,1230,0.05471616601856089,scene_object_ratio,clip,dinov2,clip_vs_dinov2,0.08798098303305758,False,False,False
2835826.0,2.0133692963839136e-09,3581,0.10021020544515258,topological_density,clip,dinov2,clip_vs_dinov2,1.2080215778303482e-08,True,True,False
199.5,0.211615802905604,32,0.22081790806727328,vg_attr_precision,clip,dinov2,clip_vs_dinov2,0.2790535637896686,False,False,False
12533.0,0.028815680735753278,244,0.13994424378263026,vg_attr_recall,clip,dinov2,clip_vs_dinov2,0.0493983098327199,True,True,False
363786.5,0.5434696800623634,1218,0.01740908454829045,adj_per_noun,siglip,dinov2,siglip_vs_dinov2,0.5928760146134874,False,False,False
2695301.5,1.8557265684358577e-07,3462,0.08860209937396193,caption_length,siglip,dinov2,siglip_vs_dinov2,8.907487528492117e-07,True,False,False
666926.5,0.6643058311067869,1643,0.010706486738910828,head_noun_min_depth,siglip,dinov2,siglip_vs_dinov2,0.6643058311067869,False,False,False
153074.5,2.069127179701459e-18,953,0.28355232145138387,projective_density,siglip,dinov2,siglip_vs_dinov2,1.6553017437611673e-17,True,True,False
360982.0,0.5167771708798039,1214,0.018607196151955312,scene_object_ratio,siglip,dinov2,siglip_vs_dinov2,0.5906024810054902,False,False,False
2975612.5,0.0013089173862019718,3562,0.05385192928086188,topological_density,siglip,dinov2,siglip_vs_dinov2,0.002724466207273024,True,False,False
398.5,0.1100814642064854,46,0.23558675155685374,vg_attr_precision,siglip,dinov2,siglip_vs_dinov2,0.1651221963097281,False,False,False
16527.5,0.5690337038856698,262,0.03518229465101115,vg_attr_recall,siglip,dinov2,siglip_vs_dinov2,0.5937742997067859,False,False,False
