metric,method,coef,se,z,p_value,n_images,n_obs,converged
adj_per_noun,paired_t_per_image,-0.0015223809523809526,0.0020598003925536294,-0.7390914954111582,0.4598861416659936,5000,20000,True
caption_length,paired_t_per_image,-0.4821,0.02153412783774505,-22.38771886340223,7.115657188119574e-106,5000,20000,True
head_noun_min_depth,mixedlm_image_re,0.027169011595774135,0.01627075581413562,1.6698063634001798,0.0949576809843044,5000,19974,True
projective_density,paired_t_per_image,-0.0034807627791025616,0.0003553489656097589,-9.795336742094545,1.8752663086795145e-22,5000,20000,True
scene_object_ratio,mixedlm_image_re,-0.001999483535758569,0.0031143584845205537,-0.642020995879793,0.5208595506432836,4869,17679,True
topological_density,paired_t_per_image,0.0001140903493526658,0.0006831062105922651,0.16701699908971324,0.8673634286486434,5000,20000,True
vg_attr_precision,mixedlm_image_re,0.03851305970929855,0.014173980177015618,2.717166189617715,0.006584353682454686,893,1756,True
vg_attr_recall,paired_t_per_image,-0.00010983398388837701,0.0006769130720381635,-0.1622571470774976,0.8711187349805815,2133,8532,True
