metric,method,coef,se,z,p_value,n_images,n_obs,converged
adj_per_noun,paired_t_per_image,-0.007225992063492066,0.0041866669044239605,-1.7259534203345668,0.08441758419289418,5000,15000,True
caption_length,mixedlm_image_re,0.15199999999580255,0.052353109403134125,2.903361457012199,0.0036918027336422126,5000,15000,True
head_noun_min_depth,mixedlm_image_re,-0.09162950492988815,0.023594398262697863,-3.8835279420858146,0.00010295169462547671,5000,14968,True
projective_density,mixedlm_image_re,-0.0020334994498712247,0.0005071386245240693,-4.009750690513049,6.078289046205806e-05,5000,15000,True
scene_object_ratio,paired_t_per_image,0.008427919112850617,0.005561779831240494,1.515327713173943,0.12978567375354563,3285,12562,True
topological_density,paired_t_per_image,0.0008732256760527897,0.001101956514810591,0.7924320645292282,0.4281463924073488,5000,15000,True
vg_attr_precision,paired_t_per_image,0.014555052790346903,0.031671244670479465,0.45956680710794917,0.6462809890701514,221,2684,True
vg_attr_recall,paired_t_per_image,0.0007001918700572386,0.0011136039981983479,0.628761993662064,0.5295722414163335,2133,6399,True
