statistic,p_value,n,r,metric,contrast,p_adj,rejected_at_alpha,claimed_meaningful
3591897.5,0.007126836165216667,3888,0.04315466739814793,adj_per_noun,lang_sup_vs_self_sup,0.028507344660866667,True,False
5387390.0,0.2230364398727286,4690,0.01779249472053157,caption_length,lang_sup_vs_self_sup,0.35685830379636574,False,False
3502445.5,0.03371215180975122,3819,0.03436188700449318,head_noun_min_depth,lang_sup_vs_self_sup,0.08989907149266992,False,False
820513.5,1.7020305554200106e-08,1961,0.12735863364595507,projective_density,lang_sup_vs_self_sup,1.3616244443360085e-07,True,True
775330.0,0.6373063205894495,1772,0.011200068508564427,scene_object_ratio,lang_sup_vs_self_sup,0.7283500806736566,False,False
6041302.0,0.9274627101370129,4919,0.0012980230827178243,topological_density,lang_sup_vs_self_sup,0.9274627101370129,False,False
1890.5,0.3303745405025045,92,0.1014797680160028,vg_attr_precision,lang_sup_vs_self_sup,0.44049938733667265,False,False
168692.0,0.19413082552618133,843,0.04472118625511081,vg_attr_recall,lang_sup_vs_self_sup,0.35685830379636574,False,False
