statistic,p_value,n,r,metric,contrast,p_adj,rejected_at_alpha,claimed_meaningful
709597.0,0.3416458198794232,1707,0.023015821090515916,adj_per_noun,lang_sup_vs_self_sup,0.5466333118070772,False,False
2561691.0,7.26411890195389e-117,4162,0.356215610276495,caption_length,lang_sup_vs_self_sup,5.811295121563112e-116,True,True
1394134.0,0.1821626505749412,2399,0.02723840294013459,head_noun_min_depth,lang_sup_vs_self_sup,0.3760966637760532,False,False
327806.5,3.116466050444496e-20,1357,0.2501493834473113,projective_density,lang_sup_vs_self_sup,1.2465864201777983e-19,True,True
673545.0,0.1880483318880266,1672,0.032192993989176924,scene_object_ratio,lang_sup_vs_self_sup,0.3760966637760532,False,False
4968837.5,0.829390917291346,4466,0.0032244322754100127,topological_density,lang_sup_vs_self_sup,0.9478753340472525,False,False
259.0,0.6974636959791746,33,0.06767207586051423,vg_attr_precision,lang_sup_vs_self_sup,0.9299515946388994,False,False
33909.5,0.9849555387075328,368,0.0009829657977159408,vg_attr_recall,lang_sup_vs_self_sup,0.9849555387075328,False,False
