encoder,decoder,seed,metric,score,ci_lo,ci_hi,n_captions
clip,beam,1,mtld,22.15288746447813,21.81575925362737,22.57124246751252,5000
clip,nucleus,1,mtld,31.877552521784263,31.523796611827084,32.82522732221544,5000
siglip,beam,1,mtld,22.89101872712535,22.60737575624308,23.42929704759192,5000
siglip,nucleus,1,mtld,32.32138902101684,31.32342678754576,32.63490451438546,5000
dinov2,beam,1,mtld,23.373265215342617,23.20342588493919,24.04000292870621,5000
dinov2,nucleus,1,mtld,33.23956788720692,32.48498114168752,33.83119692458253,5000
mae,beam,1,mtld,21.73857212745242,21.357840158958197,22.03324673659967,5000
mae,nucleus,1,mtld,32.16165241710134,31.775916127987184,33.062733254222756,5000
