statistic,p_value,n,r,metric,contrast,p_adj,rejected_at_alpha,claimed_meaningful
541062.5,0.024654936594218756,1522,0.05759047565217354,adj_per_noun,lang_sup_vs_self_sup,0.04930987318843751,True,False
2811799.5,2.4976633799912424e-75,4096,0.2869554429804727,caption_length,lang_sup_vs_self_sup,1.998130703992994e-74,True,True
1114410.0,0.6212857525309481,2124,0.010719514601504573,head_noun_min_depth,lang_sup_vs_self_sup,0.877211182092848,False,False
226874.5,7.532013729470168e-18,1134,0.2555762131159743,projective_density,lang_sup_vs_self_sup,3.012805491788067e-17,True,True
626724.5,0.657908386569636,1593,0.011094365226165588,scene_object_ratio,lang_sup_vs_self_sup,0.877211182092848,False,False
4456614.0,0.0021453025871880833,4340,0.04659083926447953,topological_density,lang_sup_vs_self_sup,0.005720806899168222,True,False
509.5,0.9271858388410641,45,0.013623029315125863,vg_attr_precision,lang_sup_vs_self_sup,0.9271858388410641,False,False
28168.0,0.7905235639710119,338,0.01444841066577403,vg_attr_recall,lang_sup_vs_self_sup,0.9034555016811564,False,False
