statistic,p_value,n,r,metric,encoder_a,encoder_b,contrast,p_adj,rejected_at_alpha,claimed_meaningful,within_category
226499.0,3.3937134319564525e-08,1060,0.16953953786645512,adj_per_noun,clip,siglip,clip_vs_siglip,1.357485372782581e-07,True,True,True
2799571.0,5.0835330714646746e-05,3485,0.06863435614623281,caption_length,clip,siglip,clip_vs_siglip,0.00012842609864752863,True,False,True
588722.0,0.06474267719354923,1577,0.04651127981318705,head_noun_min_depth,clip,siglip,clip_vs_siglip,0.09711401579032385,False,False,True
72993.0,1.0545132705119387e-12,655,0.2783263684764145,projective_density,clip,siglip,clip_vs_siglip,6.327079623071633e-12,True,True,True
344737.0,0.0032198447164337616,1234,0.08386194963186376,scene_object_ratio,clip,siglip,clip_vs_siglip,0.00671967592994872,True,False,True
2908890.5,5.483124275884436e-06,3571,0.07606363964587437,topological_density,clip,siglip,clip_vs_siglip,1.644937282765331e-05,True,False,True
287.5,0.09366139949295699,40,0.26506087715601706,vg_attr_precision,clip,siglip,clip_vs_siglip,0.132227858107704,False,False,True
7329.0,3.272100763644211e-07,220,0.3443179070723567,vg_attr_recall,clip,siglip,clip_vs_siglip,1.2081602819609396e-06,True,True,True
245391.0,7.040308961214909e-10,1115,0.1846325697298574,adj_per_noun,clip,dinov2,clip_vs_dinov2,3.754831445981285e-09,True,True,False
2445897.5,2.6747858718837662e-37,3593,0.212905983231363,caption_length,clip,dinov2,clip_vs_dinov2,3.2097430462605196e-36,True,True,False
604093.0,4.350457989074856e-06,1666,0.11254952885097169,head_noun_min_depth,clip,dinov2,clip_vs_dinov2,1.3921465565039538e-05,True,True,False
83234.0,1.3199948582527978e-25,767,0.37768497999495565,projective_density,clip,dinov2,clip_vs_dinov2,1.2671950639226858e-24,True,True,False
369942.0,0.02507084242537541,1262,0.06306353722779608,scene_object_ratio,clip,dinov2,clip_vs_dinov2,0.04149656677303517,True,False,False
3105321.5,3.797310709466849e-09,3738,0.09638317872024073,topological_density,clip,dinov2,clip_vs_dinov2,1.8227091405440874e-08,True,False,False
502.5,0.5086710839008681,47,0.09640339243345143,vg_attr_precision,clip,dinov2,clip_vs_dinov2,0.5425824894942594,False,False,False
8432.5,4.4631905959552993e-07,233,0.33070940439561763,vg_attr_recall,clip,dinov2,clip_vs_dinov2,1.5302367757561026e-06,True,True,False
269082.0,0.12550159202484631,1066,0.04692498121800847,adj_per_noun,clip,mae,clip_vs_mae,0.15852832676822692,False,False,False
2251735.0,1.3560866356209857e-63,3635,0.27922620475184107,caption_length,clip,mae,clip_vs_mae,6.509215850980731e-62,True,True,False
