metric,method,coef,se,z,p_value,n_images,n_obs,converged
adj_per_noun,paired_t_per_image,-0.0060307323232323224,0.0034036598200203323,-1.7718375637187787,0.07648242964773375,5000,20000,True
caption_length,paired_t_per_image,-0.0093,0.041271701838845154,-0.22533599501939577,0.8217271105206796,5000,20000,True
head_noun_min_depth,mixedlm_image_re,0.0007340964615008505,0.019771829148264513,0.037128404053870065,0.9703826244772414,5000,19962,True
projective_density,paired_t_per_image,-0.0026892697289834333,0.00041491698775733934,-6.48146450575369,9.958082081254382e-11,5000,20000,True
scene_object_ratio,paired_t_per_image,-0.0005879593685300199,0.0049672730198404005,-0.11836663017747938,0.9057852430659702,2944,16800,True
topological_density,paired_t_per_image,-0.0002399634250345888,0.0008936847505385567,-0.2685101484499773,0.7883177438824958,5000,20000,True
vg_attr_precision,mixedlm_image_re,0.024435492930647257,0.01292220322275864,1.890969559092784,0.0586284078894678,1814,3699,True
vg_attr_recall,paired_t_per_image,-0.000455085402160843,0.0009573190165489292,-0.47537486908115056,0.6345685015796986,2133,8532,True
