metric,method,coef,se,z,p_value,n_images,n_obs,converged
adj_per_noun,paired_t_per_image,-0.008949632034632038,0.004066221781624857,-2.200969970471157,0.027783702505142022,5000,15000,True
caption_length,paired_t_per_image,0.1219,0.04998397500751126,2.4387816291457747,0.014771438513480692,5000,15000,True
head_noun_min_depth,mixedlm_image_re,-0.015334205846425647,0.023763903718927608,-0.6452730169164997,0.5187502755825284,5000,14971,True
projective_density,paired_t_per_image,-0.002848513969334335,0.0005106195455694349,-5.57854471896041,2.553050691143444e-08,5000,15000,True
scene_object_ratio,mixedlm_image_re,0.0010079627464794634,0.00514786077523344,0.19580225466252152,0.8447649452684456,4868,12642,True
topological_density,paired_t_per_image,0.003541821305808823,0.0010794359355839112,3.2811778717491977,0.0010408363338280547,5000,15000,True
vg_attr_precision,paired_t_per_image,0.019495694956949566,0.02980342665722605,0.6541427326854945,0.5135766260095751,271,2804,True
vg_attr_recall,paired_t_per_image,0.0004436358301794411,0.001281249417465522,0.3462525126895359,0.729187119577415,2133,6399,True
