metric,coef_seed1,coef_seed2,coef_seed3,mean_coef,sd_coef
adj_per_noun,-0.0087747619047766,-0.0065416666666759,-0.0094738888888965,-0.008263439153449667,0.0015315253857313257
caption_length,-0.2931,-0.4719,-0.1971,-0.3207,0.13946354362341434
head_noun_min_depth,-0.0946161564847636,-0.0037737735635527,-0.0384422407384473,-0.04561072359558787,0.04584348365423178
projective_density,-0.0035145433367801,-0.0035732588124809,-0.0052321383458295,-0.004106646831696834,0.0009751462649573012
scene_object_ratio,0.0049152298053995,0.0013664014363443,0.0079667718844192,0.004749467708721,0.003303305967886801
topological_density,0.0029929927338247,0.0024364548067906,0.003977579079096,0.0031356755399037663,0.0007804068125248265
vg_attr_precision,0.031974272262138,0.0338299414807927,0.0411639690953036,0.035656060946078094,0.004859389488145003
vg_attr_recall,-0.0023518339687577,-0.0006091099642224,-0.0011786225153002,-0.0013798554827601,0.0008886184610902624
