metric,method,coef,se,z,p_value,n_images,n_obs,converged
adj_per_noun,paired_t_per_image,-0.005770613275613279,0.004154130933334978,-1.3891264787315145,0.16485616805161105,5000,15000,True
caption_length,paired_t_per_image,-0.0362,0.04910804651018414,-0.7371500715772263,0.46106568742289167,5000,15000,True
head_noun_min_depth,mixedlm_image_re,-0.023010813388898883,0.024170521981871373,-0.9520197125307304,0.34108698471365717,5000,14971,True
projective_density,paired_t_per_image,-0.002704857088390452,0.0005141853752124664,-5.260470676111273,1.4968230327067154e-07,5000,15000,True
scene_object_ratio,paired_t_per_image,0.00761803352311414,0.005616522926894336,1.3563611548055303,0.17507747014582759,3287,12602,True
topological_density,paired_t_per_image,0.00012890951698776805,0.0010903587193689891,0.1182267034672501,0.9058927820382986,5000,15000,True
vg_attr_precision,paired_t_per_image,0.001851851851851847,0.028792530258345526,0.06431709319173459,0.9487671648881014,261,2780,True
vg_attr_recall,paired_t_per_image,-0.0011967255483450155,0.0012408314382264674,-0.9644545677014011,0.3349274553712722,2133,6399,True
