metric,method,coef,se,z,p_value,n_images,n_obs,converged
adj_per_noun,paired_t_per_image,-0.002548095238095238,0.002101581676313109,-1.212465481030205,0.22539154526100125,5000,20000,True
caption_length,mixedlm_image_re,-0.36609999999996573,0.02073813002132831,-17.653472112646945,9.568825019847266e-70,5000,20000,True
head_noun_min_depth,mixedlm_image_re,-0.05647020325125658,0.016722270362366416,-3.376945954560283,0.0007329545014189266,5000,19984,True
projective_density,paired_t_per_image,-0.004835297664152152,0.00034903476988672487,-13.853340931396007,7.456379196224729e-43,5000,20000,True
scene_object_ratio,mixedlm_image_re,0.0049649506565206235,0.003190841991010839,1.5560001624987259,0.11970805372669235,4869,17637,True
topological_density,paired_t_per_image,0.0012707741474498435,0.0006783238326956894,1.873403360161665,0.06107100788287204,5000,20000,True
vg_attr_precision,mixedlm_image_re,0.02566970459453087,0.014478401016157803,1.7729654376808355,0.07623443414026942,905,1731,True
vg_attr_recall,paired_t_per_image,-0.0016332558371377041,0.0007150538928230777,-2.2841017348909287,0.022463455556144592,2133,8532,True
