metric,method,coef,se,z,p_value,n_images,n_obs,converged
adj_per_noun,paired_t_per_image,-0.00031888888888888885,0.002439193190753895,-0.13073539648178834,0.8959898908104221,5000,20000,True
caption_length,mixedlm_image_re,-0.33350000000003144,0.020962294534390385,-15.909517894279034,5.443101723002928e-57,5000,20000,True
head_noun_min_depth,mixedlm_image_re,-0.0068827953628542975,0.01654129589920143,-0.41609771113438465,0.6773385047608054,5000,19974,True
projective_density,paired_t_per_image,-0.004747512122380542,0.0003700436361004293,-12.829600780087661,4.283710222768956e-37,5000,20000,True
scene_object_ratio,mixedlm_image_re,0.005529625554441859,0.003141293760007457,1.760301957378457,0.07835662248208125,4861,17622,True
topological_density,mixedlm_image_re,0.0006503872431539112,0.0006653039006122676,0.9775791823185932,0.32828249762935324,5000,20000,True
vg_attr_precision,mixedlm_image_re,0.04288491192649498,0.014625447264204948,2.9322119967882054,0.0033655691986605382,917,1705,True
vg_attr_recall,paired_t_per_image,-0.0006124269288330526,0.0007235746039258801,-0.8463908566030697,0.397429726313321,2133,8532,True
